MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003525,Portsmouth 002,587,Portsmouth,2,F,4.86393E-07
E02003526,Portsmouth 003,574,Portsmouth,2,F,5.17712E-07
E02003526,Portsmouth 003,573,Portsmouth,2,F,0.03543155
E02003526,Portsmouth 003,572,Portsmouth,2,F,2.83208E-07
E02003526,Portsmouth 003,571,Portsmouth,2,F,7.44954E-07
E02003526,Portsmouth 003,570,Portsmouth,2,F,0.423220431
E02003526,Portsmouth 003,569,Portsmouth,2,F,0.133911032
E02003526,Portsmouth 003,568,Portsmouth,2,F,0.108428294
E02003526,Portsmouth 003,567,Portsmouth,2,F,0.07853175
E02003526,Portsmouth 003,566,Portsmouth,2,F,4.56375E-07
E02003526,Portsmouth 003,565,Portsmouth,2,F,4.65439E-07
E02003526,Portsmouth 003,564,Portsmouth,2,F,0.220472749
E02003526,Portsmouth 003,563,Portsmouth,2,F,5.05833E-07
E02003526,Portsmouth 003,369,Portsmouth,2,F,7.02422E-07
E02003526,Portsmouth 003,645,Portsmouth,2,F,5.18171E-07
E02003527,Portsmouth 004,490,Portsmouth,2,F,4.09561E-08
E02003527,Portsmouth 004,489,Portsmouth,2,F,0.060189314
E02003527,Portsmouth 004,488,Portsmouth,2,F,0.108580015
E02003527,Portsmouth 004,487,Portsmouth,2,F,0.071143177
E02003527,Portsmouth 004,582,Portsmouth,2,F,4.42359E-07
E02003527,Portsmouth 004,580,Portsmouth,2,F,8.94617E-08
E02003527,Portsmouth 004,579,Portsmouth,2,F,0.007256326
E02003527,Portsmouth 004,578,Portsmouth,2,F,0.177795154
E02003527,Portsmouth 004,577,Portsmouth,2,F,8.52507E-07
E02003527,Portsmouth 004,575,Portsmouth,2,F,0.075118661
E02003527,Portsmouth 004,574,Portsmouth,2,F,2.53326E-07
E02003527,Portsmouth 004,572,Portsmouth,2,F,5.98889E-07
E02003527,Portsmouth 004,369,Portsmouth,2,F,3.22227E-07
E02003527,Portsmouth 004,296,Portsmouth,2,F,0.004627094
E02003527,Portsmouth 004,293,Portsmouth,2,F,0.001757689
E02003527,Portsmouth 004,291,Portsmouth,2,F,2.20676E-07
E02003527,Portsmouth 004,290,Portsmouth,2,F,4.45198E-07
E02003527,Portsmouth 004,288,Portsmouth,2,F,0.000860869
E02003527,Portsmouth 004,287,Portsmouth,2,F,0.002543047
E02003527,Portsmouth 004,286,Portsmouth,2,F,0.001156827
E02003527,Portsmouth 004,946,Portsmouth,2,F,0.216457736
E02003527,Portsmouth 004,588,Portsmouth,2,F,1.83877E-07
E02003527,Portsmouth 004,587,Portsmouth,2,F,0.272510643
E02003529,Portsmouth 006,581,Portsmouth,2,F,3.5213E-07
E02003529,Portsmouth 006,580,Portsmouth,2,F,0.203275522
E02003529,Portsmouth 006,579,Portsmouth,2,F,0.158373777
E02003529,Portsmouth 006,578,Portsmouth,2,F,1.3489E-06
E02003529,Portsmouth 006,574,Portsmouth,2,F,0.082095802
E02003529,Portsmouth 006,573,Portsmouth,2,F,0.06825122
E02003529,Portsmouth 006,572,Portsmouth,2,F,6.88302E-08
E02003529,Portsmouth 006,570,Portsmouth,2,F,1.95138E-08
