Zone,Area,Zone_type,LAD,ZonG,Core,D30_Districts ID
764,4,F,Isle of Wight,-119,Core,17
765,4,F,Isle of Wight,-119,Core,17
766,4,F,Isle of Wight,-119,Core,17
767,4,F,Isle of Wight,-119,Core,17
768,4,F,Isle of Wight,-119,Core,17
769,4,F,Isle of Wight,-119,Core,17
770,4,F,Isle of Wight,-119,Core,17
771,4,F,Isle of Wight,-119,Core,17
772,4,F,Isle of Wight,-119,Core,17
773,4,F,Isle of Wight,-119,Core,17
774,4,F,Isle of Wight,-119,Core,17
775,4,F,Isle of Wight,-119,Core,17
776,4,F,Isle of Wight,-119,Core,17
777,4,F,Isle of Wight,-119,Core,17
778,4,F,Isle of Wight,-119,Core,17
779,4,F,Isle of Wight,-119,Core,17
780,7,F,Arun,-107,Marginal,15
781,7,F,Arun,-107,Marginal,15
782,7,F,Arun,-107,Marginal,15
783,7,F,Chichester,-109,Marginal,16
784,7,F,Chichester,-109,Marginal,16
785,7,F,Chichester,-109,Marginal,16
786,7,F,Chichester,-109,Marginal,16
787,7,F,Chichester,-109,Marginal,16
788,7,F,Chichester,-109,Marginal,16
789,7,F,Chichester,-109,Marginal,16
790,7,F,Chichester,-109,Marginal,16
791,7,F,Chichester,-109,Marginal,16
792,7,F,Chichester,-109,Marginal,16
793,6,F,Chichester,-109,Marginal,16
794,6,F,Chichester,-109,Marginal,16
795,6,F,East Hampshire,-108,Marginal,11
796,6,F,East Hampshire,-108,Marginal,11
797,6,F,East Hampshire,-108,Marginal,11
798,6,F,East Hampshire,-108,Marginal,11
799,6,F,East Hampshire,-108,Marginal,11
800,6,F,East Hampshire,-108,Marginal,11
801,6,F,East Hampshire,-108,Marginal,11
802,2,F,Winchester,-114,Marginal,14
803,2,F,Winchester,-114,Marginal,14
804,3,F,Winchester,-114,Marginal,14
805,3,F,Winchester,-114,Marginal,14
806,3,F,Winchester,-114,Marginal,14
807,3,F,Test Valley,-113,Marginal,13
808,8,F,Test Valley,-113,Marginal,13
809,8,F,Test Valley,-113,Marginal,13
810,8,F,Test Valley,-113,Marginal,13
811,3,F,Test Valley,-113,Marginal,13
812,8,F,Test Valley,-113,Marginal,13
813,3,F,Test Valley,-113,Marginal,13
814,3,F,Test Valley,-113,Marginal,13
815,3,F,Test Valley,-113,Marginal,13
816,3,F,New Forest,-112,Marginal,12
817,3,F,New Forest,-112,Marginal,12
818,3,F,New Forest,-112,Marginal,12
819,3,F,New Forest,-112,Marginal,12
820,3,F,New Forest,-112,Marginal,12
821,1,F,New Forest,-112,Marginal,12
822,3,F,New Forest,-112,Marginal,12
823,1,F,New Forest,-112,Marginal,12
824,1,F,New Forest,-112,Marginal,12
825,1,F,New Forest,-112,Marginal,12
826,1,F,New Forest,-112,Marginal,12
827,1,F,New Forest,-112,Marginal,12
828,1,F,New Forest,-112,Marginal,12
829,14,B,Worthing,-117,Buffer,28
830,14,B,Arun,-107,Buffer,18
831,14,B,Arun,-107,Buffer,18
832,9,B,Chichester,-109,Buffer,19
833,9,B,Chichester,-109,Buffer,19
834,13,B,East Hampshire,-108,Buffer,20
835,13,B,East Hampshire,-108,Buffer,20
836,13,B,East Hampshire,-108,Buffer,20
837,13,B,Basingstoke and Dean,-133,Buffer,27
838,5,B,Basingstoke and Dean,-125,Buffer,27
839,5,B,Basingstoke and Dean,-125,Buffer,27
840,5,B,Basingstoke and Dean,-125,Buffer,27
841,5,B,Basingstoke and Dean,-125,Buffer,27
842,5,B,Basingstoke and Dean,-125,Buffer,27
843,12,B,Test Valley,-113,Buffer,22
844,12,B,Wiltshire,-132,Buffer,29
845,12,B,Wiltshire,-132,Buffer,29
846,12,B,Wiltshire,-132,Buffer,29
847,10,B,Wiltshire,-130,Buffer,29
848,11,B,New Forest,-112,Buffer,21
849,11,B,East Dorset,-131,Buffer,26
850,11,B,Poole,-131,Buffer,24
851,11,B,Bournemouth,-131,Buffer,23
852,11,B,Christchurch,-131,Buffer,25
853,11,B,Christchurch,-131,Buffer,25
854,11,B,New Forest,-112,Buffer,21
855,37,X,External_855,0,External,30
856,19,X,External_856,0,External,30
857,20,X,External_857,0,External,30
858,22,X,External_858,0,External,30
859,21,X,External_859,0,External,30
860,18,X,External_860,0,External,30
861,15,X,External_861,0,External,30
862,23,X,External_862,0,External,30
863,16,X,External_863,0,External,30
864,17,X,External_864,0,External,30
865,38,X,External_865,0,External,30
866,39,X,External_866,0,External,30
867,33,X,External_867,0,External,30
868,25,X,External_868,0,External,30
869,24,X,External_869,0,External,30
870,30,X,External_870,0,External,30
871,27,X,External_871,0,External,30
872,31,X,External_872,0,External,30
873,29,X,External_873,0,External,30
874,28,X,External_874,0,External,30
875,26,X,External_875,0,External,30
876,36,X,External_876,0,External,30
877,35,X,External_877,0,External,30
878,40,X,External_878,0,External,30
879,32,X,External_879,0,External,30
880,34,X,External_880,0,External,30
881,2,F,Havant,-116,Core,5
882,2,F,Havant,-116,Core,5
883,3,F,Eastleigh,-115,Core,2
884,3,F,Eastleigh,-115,Core,2
885,3,F,Eastleigh,-115,Core,2
886,3,F,Eastleigh,-115,Core,2
887,3,F,Eastleigh,-115,Core,2
