District,Population,2019,2026,2031,2036,2046
17,16-74,-21.000000083979103,-271.00000131993147,-655.0000032599928,-1050.0000051000388,-2798.000014110061
17,75+,-26.400000089994137,-170.00000077000732,-355.0000016099839,-718.0000031300042,-2244.000009169995
17,HHs,-25.200000119970355,-376.0000018300052,-907.0000045199704,-1544.0000076999568,-3224.000016120015
17,jobs,-1209.000007212031,-658.0000039099687,-997.0000059599552,-1424.0000085099891,-3525.0000210299477
17,workers,-907.2000048900372,-361.00000253006147,-628.0000037999635,-928.0000054200063,-2726.000014699981
15,under16,-28.241965260000143,-409.9861173600002,-942.1820577300023,-1481.3779966799993,-1783.5109182399992
15,16-74,-23.44196436600032,-323.48957201000303,-729.4756672500007,-1118.461757450008,-2639.6299019200014
15,75+,-19.627974888000608,-128.20981998000389,-268.41964126999846,-510.48263267999937,-1479.377938440004
15,HHs,-22.241965170003823,-347.5595217999944,-819.9722172199981,-1355.8114993100025,-2688.2663571100056
15,jobs,-583.3429580700031,-316.412753060009,-480.11913118000666,-687.2521023999943,-1695.9169574700027
15,workers,-707.8491349080068,-416.4896049099989,-703.0491202400008,-1024.3219031400004,-2364.846678449998
16,under16,-33.10283237400108,-439.1639448200003,-1009.0492028400022,-1588.9344699699977,-1884.3771299200052
16,16-74,-33.70283271600783,-275.44264627000666,-599.2638479500165,-908.8778937699972,-2410.2982463299923
16,75+,-23.62712399999873,-132.72131168000124,-272.44262100999913,-531.0923988200011,-1619.4486032900022
16,HHs,-30.702831414004322,-333.4068682700017,-789.9493598300032,-1313.2489359300089,-2668.083558490005
16,jobs,-1161.024940739997,-627.7495733599935,-955.2279402499844,-1366.4633749900095,-3365.6763250200092
16,workers,-667.5165362639964,-388.71383239000716,-611.371183660005,-875.885416860001,-2160.413130910005
11,under16,-14.532549876000303,-167.54642180999963,-386.74252356000125,-615.1464691700003,-726.2641384899998
11,16-74,-15.974119067999709,-89.48106134999762,-190.57258275999993,-289.46933649000493,-774.9138553400007
11,75+,-7.924705350000295,-40.83137494000039,-81.06536612999935,-162.3255007400012,-523.1712555200002
11,HHs,-12.24941248200048,-111.49413056000412,-254.8196393599992,-429.36606256999767,-864.5373541900044
11,jobs,-312.3051334499978,-170.70197940999788,-256.7542779400028,-366.41703479999705,-905.5360488699989
11,workers,-266.99374973999875,-209.36472104999848,-159.74122208000517,-236.61182534000363,-656.1988314199989
14,under16,-6.475978073999613,-87.34637039999961,-200.87709859000051,-316.0055925199995,-379.36313333
14,16-74,-6.475978470001792,-60.960887189998175,-135.5139494300056,-210.46365867000168,-487.8826423999999
14,75+,-2.758659492000106,-18.98882711000033,-37.776537479999206,-74.75419086000011,-219.86592890999964
14,HHs,-4.796648358000311,-61.16200912000204,-141.11172731999977,-230.85474369000258,-456.71507845999986
14,jobs,-169.24690162799925,-91.75976251000066,-139.1396441300003,-199.31281864999983,-489.586517669999
14,workers,-120.52291318799962,-104.32960430000094,-141.51395736999984,-206.07261321999886,-485.69270610999956
13,under16,-11.965560869999535,-146.51248088000102,-341.2837891600002,-543.4062886399997,-659.4714091599999
13,16-74,-13.759108692000154,-82.60151231000054,-170.29465103999974,-265.20785364999756,-712.2030685799982
13,75+,-5.448522504000266,-28.52461695000102,-56.558836879999944,-111.61881930000027,-352.29310646999966
13,HHs,-10.141296311998303,-96.00711945000148,-224.02696131000084,-374.5417275400014,-746.0322712699981
13,jobs,-288.5017378140001,-154.71096914999725,-236.55032227999618,-338.42391619000045,-834.9849658400017
13,workers,-225.57388300199636,-170.5192350899997,-159.0628058200018,-240.56798808999883,-675.9736604499976
12,under16,-17.655758141998376,-249.54950019999887,-577.3777894299983,-919.6323309599993,-1090.3292566399978
12,16-74,-7.027878438006155,-102.27879364000546,-252.41010562000884,-403.2545344699902,-1202.6161229399877
12,75+,-21.85575406799944,-109.9919040700006,-216.69693215998996,-436.39385752999806,-1399.4602905200045
12,HHs,-12.255754445992352,-183.27069947998825,-452.8201751700035,-783.2221729999947,-1654.7231106399995
12,jobs,-695.5681181159962,-376.95131194999703,-574.6400955200079,-820.8945122699952,-2027.7403359799937
12,workers,-426.8169413159958,-168.98387170999922,-291.5414227199908,-417.81208962000164,-1269.591818219993
28,under16,-35.9999668920027,-459.999572069999,-1066.999007899998,-1705.9984147100004,-1977.9982236200012
28,16-74,-22.799982455995632,-99.99994781998976,-236.99987616999715,-406.99977993000357,-1745.9987648199894
28,75+,-18.599989415997698,-74.99995305999983,-146.99990340000113,-327.999780119997,-1194.9992018899975
28,HHs,-24.599980817998585,-230.99984119000146,-566.9996000699975,-1003.9992839200058,-2172.998428709994
28,jobs,-1075.1991600060137,-581.9995497099953,-886.9993152700044,-1269.999015329995,-3124.997582609991
28,workers,-914.9991958979954,-473.99954534000426,-518.9995323600087,-715.9994224900001,-2132.998260420005
18,under16,-23.358033581998825,-343.0138221900015,-787.8178120399989,-1237.6218038700008,-1487.4888205999996
18,16-74,-19.758033102007175,-281.51030148999416,-646.5240381499971,-994.5378035500107,-2223.36935999
18,75+,-15.772021902001143,-110.79013976999886,-227.58027065999704,-432.517215150001,-1264.621686270002
18,HHs,-20.958031410005788,-292.4403808200004,-691.0275532800079,-1141.1881414399904,-2265.7329722300055
18,jobs,-487.05705634200785,-264.5872533600086,-400.8808823899999,-572.7479163499993,-1412.08308434
18,workers,-517.9508054159996,-284.5103672999976,-606.9507033000009,-859.6778034100025,-1976.1527743999977
19,under16,-8.897176007999406,-118.8361710299996,-274.9510641199995,-433.0659572599998,-503.62341626000034
19,16-74,-7.697176824003691,-72.55744526000308,-162.73635682999884,-252.12242779999724,-576.7025527599981
19,75+,-4.572883218000243,-30.27872436000007,-62.5574476200004,-119.9077415099996,-355.5518693699996
19,HHs,-7.097176686000239,-77.59323981000125,-184.05089005000264,-307.75148185000035,-623.917268220006
