District,Population,2019,2026,2031,2036,2046
12,jobs,7.275957614183426e-12,0.0,0.0,0.0,0.0
12,workers,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0
28,under16,0.0,0.0,0.0,0.0,0.0
28,16-74,0.0,0.0,0.0,0.0,0.0
28,75+,-1.8189894035458565e-12,0.0,0.0,1.8189894035458565e-12,-3.637978807091713e-12
28,HHs,0.0,0.0,0.0,0.0,0.0
28,jobs,0.0,0.0,0.0,-7.275957614183426e-12,-7.275957614183426e-12
28,workers,0.0,0.0,0.0,0.0,0.0
18,under16,1.8189894035458565e-12,0.0,0.0,0.0,0.0
18,16-74,0.0,0.0,0.0,-7.275957614183426e-12,0.0
18,75+,-1.8189894035458565e-12,0.0,1.8189894035458565e-12,0.0,0.0
18,HHs,0.0,0.0,0.0,0.0,0.0
18,jobs,-3.637978807091713e-12,0.0,0.0,0.0,0.0
18,workers,0.0,0.0,0.0,0.0,0.0
19,under16,0.0,0.0,0.0,0.0,0.0
19,16-74,0.0,0.0,0.0,0.0,0.0
19,75+,0.0,0.0,0.0,0.0,0.0
19,HHs,-1.8189894035458565e-12,0.0,0.0,0.0,1.8189894035458565e-12
19,jobs,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,0.0
19,workers,0.0,0.0,-1.8189894035458565e-12,0.0,1.8189894035458565e-12
20,under16,0.0,0.0,0.0,-1.8189894035458565e-12,0.0
20,16-74,0.0,0.0,-7.275957614183426e-12,0.0,0.0
20,75+,0.0,0.0,0.0,0.0,0.0
20,HHs,0.0,0.0,0.0,0.0,0.0
20,jobs,0.0,0.0,0.0,0.0,0.0
20,workers,0.0,0.0,0.0,0.0,0.0
27,under16,0.0,0.0,0.0,0.0,-3.637978807091713e-12
27,16-74,-1.4551915228366852e-11,0.0,-1.4551915228366852e-11,1.4551915228366852e-11,0.0
27,75+,0.0,0.0,3.637978807091713e-12,0.0,0.0
27,HHs,0.0,0.0,0.0,0.0,0.0
27,jobs,-1.4551915228366852e-11,0.0,1.4551915228366852e-11,0.0,0.0
27,workers,0.0,-1.4551915228366852e-11,0.0,1.4551915228366852e-11,1.4551915228366852e-11
22,under16,0.0,0.0,0.0,0.0,0.0
22,16-74,0.0,0.0,0.0,0.0,0.0
22,75+,0.0,0.0,0.0,0.0,0.0
22,HHs,0.0,0.0,0.0,0.0,0.0
22,jobs,0.0,0.0,0.0,0.0,-3.637978807091713e-12
22,workers,0.0,0.0,0.0,0.0,0.0
29,under16,0.0,0.0,-3.637978807091713e-12,0.0,0.0
29,16-74,0.0,0.0,1.4551915228366852e-11,1.4551915228366852e-11,0.0
29,75+,1.8189894035458565e-12,0.0,0.0,0.0,0.0
29,HHs,0.0,0.0,0.0,0.0,0.0
29,jobs,0.0,0.0,0.0,0.0,0.0
29,workers,0.0,0.0,0.0,0.0,0.0
21,under16,0.0,0.0,0.0,0.0,0.0
21,16-74,0.0,3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0
21,75+,0.0,0.0,0.0,0.0,0.0
21,HHs,1.8189894035458565e-12,0.0,0.0,0.0,0.0
21,jobs,0.0,3.637978807091713e-12,0.0,0.0,3.637978807091713e-12
21,workers,0.0,0.0,0.0,0.0,0.0
26,under16,1.8189894035458565e-12,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12
26,16-74,0.0,0.0,0.0,0.0,-7.275957614183426e-12
26,75+,0.0,1.8189894035458565e-12,0.0,0.0,0.0
26,HHs,0.0,0.0,0.0,0.0,0.0
26,jobs,0.0,0.0,0.0,-7.275957614183426e-12,-7.275957614183426e-12
26,workers,0.0,0.0,0.0,0.0,0.0
24,under16,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,3.637978807091713e-12,0.0
24,16-74,-1.4551915228366852e-11,0.0,-1.4551915228366852e-11,0.0,0.0
24,75+,1.8189894035458565e-12,-3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0
24,HHs,0.0,0.0,0.0,0.0,0.0
24,jobs,0.0,1.4551915228366852e-11,0.0,1.4551915228366852e-11,0.0
24,workers,0.0,0.0,0.0,0.0,0.0
23,under16,0.0,3.637978807091713e-12,0.0,0.0,0.0
23,16-74,0.0,0.0,0.0,0.0,0.0
23,75+,0.0,0.0,3.637978807091713e-12,0.0,0.0
23,HHs,0.0,0.0,0.0,1.4551915228366852e-11,0.0
23,jobs,0.0,0.0,0.0,0.0,0.0
23,workers,1.4551915228366852e-11,0.0,-1.4551915228366852e-11,0.0,0.0
25,under16,0.0,0.0,0.0,0.0,0.0
25,16-74,0.0,0.0,0.0,0.0,0.0
25,75+,0.0,1.8189894035458565e-12,0.0,0.0,0.0
25,HHs,0.0,0.0,0.0,0.0,0.0
25,jobs,3.637978807091713e-12,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12
25,workers,-3.637978807091713e-12,3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0
30,under16,0.0,0.0,0.0,0.0,0.0
30,16-74,0.0,0.0,0.0,0.0,0.0
30,75+,0.0,0.0,0.0,0.0,0.0
30,HHs,0.0,0.0,0.0,0.0,0.0
30,jobs,0.0,0.0,0.0,0.0,0.0
30,workers,0.0,0.0,0.0,0.0,0.0
