District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,46.88320659301826,94.07266105735835,280.0530398505034,483.07869736842076,987.7373210346832
2,299.509056792871,766.4006823409,2194.1483966538217,3884.7651896222815,7491.967205512818
3,165.67644906005444,386.03432874223654,1473.5034774110318,2807.252150889268,5487.765898847771
4,107.40181105460942,49.0061013973027,615.0168281003425,1397.0271383402796,3007.0524881688834
5,193.1811762290963,418.9645244863714,1471.8638380904013,2882.714005432259,5821.422901885788
6,88.89333659442491,96.72122280334588,632.6222212766006,1298.2443914378237,2676.6525237029855
7,96.98517275330596,188.5408884947683,602.302556127117,1128.5730464193512,2244.2768898532668
8,216.96799697566166,629.807906873415,1793.6270613008237,3141.5217668293335,5946.244734373664
9,286.1297207839525,130.98274075827794,1579.5253115834785,3747.799196564083,8367.331753058097
10,468.5816522096284,727.9623661261867,2765.8766242219426,5737.742425783246,11993.455845691467
11,100.76941737465859,98.71506760429475,392.7817764440515,739.1347814661003,1437.2434055085068
12,91.70666588079621,134.27879702196878,651.3777563354561,1306.755530944487,2709.3472990921
13,79.46993025796837,98.33532271301556,366.0289005631639,686.2569752457275,1339.3017487044017
14,30.700566129499748,88.94412346057106,276.8212054151254,489.67593295314873,916.6032941952708
15,229.9636975225876,532.7693184318268,1399.238066041631,2514.4900301112066,4685.847140940226
16,272.72546822695585,399.4427111262921,1279.699039118881,2373.0910298398885,4514.360937986552
17,194.400000019843,352.0000000360378,1417.0000001498702,2822.000000308828,5600.0000005822
18,187.03627731532833,460.2304408897762,1157.7615222691675,2070.5093116405624,3849.1517677982265
19,65.07458886019776,84.5574517008663,304.30136235900136,564.9096901786761,1068.6404811758403
20,209.43141126682167,218.28581137171568,811.2217828156718,1521.8724151896022,2898.7700590036256
21,38.99859159319567,33.998932163174686,255.99095713997121,564.9787288731604,1162.9571214920798
22,159.54619465028736,173.129679353533,686.6797917228178,1295.1896466693543,2464.457926890318
23,589.7993357993546,481.99944467420573,1872.9977667509665,4415.994657448726,8791.988809695948
24,425.999666077274,555.9988876271382,2023.995813897156,3829.997722388056,7418.992923493774
25,129.00005099864939,188.99997097294545,606.000101325455,1238.000247139662,2332.000631624429
26,199.802248579741,152.00268109537865,863.0148070453215,1809.0276652233588,3497.05854304276
27,556.7998330087139,563.9996959739801,2370.999155720652,4471.998360978818,8573.996877831916
28,279.59976083379297,36.00005794495519,808.9994278730155,1868.9986052588065,4004.996916342694
29,379.1998424830963,310.00001958528446,1401.9997896904097,2929.9992137097433,5603.998522622016
30,0.0,0.0,0.0,0.0,0.0
