District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,1.1796383303735638,0.0013587568375896808,1.9674319708216217,1.9683652400051415,6.901234426738142
2,7.559189889621848,31.012715045911136,49.22555169315274,69.61906621442904,119.65239418140573
3,4.806785208947076,22.022662072883577,37.03389672690355,52.05691581512201,86.10109645390457
4,10.800026095100293,35.00037284764585,55.00056452350418,78.00101280292984,125.00138829491698
5,13.79852746747747,45.99491750908601,76.99216819736284,110.988014902352,181.9796896003918
6,4.7999974754125105,12.999994435713688,24.999989572078903,32.99998654723822,49.9999814020116
7,1.800137002075644,6.000566934378185,11.000936553300562,14.449023705522904,22.00238828927604
8,6.62156735617009,24.003312029640256,40.03626657158293,59.24375427729683,93.11449404347331
9,35.993567968555,128.9783318617192,209.9670775491686,311.94525741738835,508.901541475203
10,41.99770820227786,150.9907406383718,249.9851842755379,367.9760498750038,589.9614723245322
11,0.6000001264928869,4.999998969865146,7.9999983703060025,12.999996933621333,19.999996232511876
12,4.20000201244784,16.0000059416534,23.000011518217434,33.00001584942038,50.00002284315997
13,0.8621510648970343,0.43692603003898967,1.8738444855622447,2.8630997635170843,3.3619619163443986
14,4.6429750000243075e-07,0.9999996716620672,2.0000003310404963,3.7988816342427754,4.000001212472284
15,9.21398928931012,31.356652174154988,51.7133015291347,76.71330563065749,117.42660924309894
16,7.075707983584834,28.58569126288603,46.37853946318137,65.17138684362635,102.757080558692
17,18.60000000358741,62.00000001244371,96.00000001958324,135.00000002919296,203.0000000495893
18,8.786008962588312,27.643348827553382,42.28669642978821,61.286696530931295,98.57338965842155
19,0.7242945675205874,1.4143161032212674,2.621475062818945,2.8286324001194316,4.242952750928907
20,2.4000002939214937,9.999999569986358,14.000002322481123,23.000040099259877,37.00000190118499
21,1.1999489367815386,4.999876244949746,4.999917947533959,9.999745842406355,14.999623888170163
22,4.53784616693838,16.56307016481105,28.126147844679508,38.689219938118185,63.63802940507003
23,26.399951058214356,99.99980509529632,158.99971448797805,231.9995737495301,371.9993232321103
24,13.80000296820981,45.00020641069568,77.00018665618336,110.00037458421684,179.00065200422978
25,4.200002706480063,15.000010271602605,27.00000703573687,35.00001833262331,57.00002383528954
26,4.200091798056292,11.000100974918041,13.000171277286881,25.00027129320233,35.000352805996954
27,11.999999632391336,46.00000049617665,69.99999585342448,100.000000173648,162.00000351574454
28,14.99998573852099,46.99996113438465,79.99993249886938,115.99989921201086,182.99984824863895
29,9.000001273971066,30.000000513111445,54.99999611341809,78.99999738563565,129.99999596710404
30,0.0,0.0,0.0,0.0,0.0
